trace_id,drawing_sheet_number,drawing_title,drawing_group,report_chapter,report_section,drawing_source_ids,link_type,notes
TR-4278,91,伸縮装置（その3）,expansion_joint,CH5,,DWG-TB-S091-001,group_mapping,
TR-4279,92,伸縮装置（その4）,expansion_joint,CH5,,DWG-TB-S092-001,group_mapping,
TR-4280,93,壁高欄配筋図（その1）,parapet_reinforcement,CH2,,DWG-TB-S093-001,group_mapping,
TR-4281,94,壁高欄配筋図（その2）,parapet_reinforcement,CH2,,DWG-TB-S094-001,group_mapping,
TR-4282,95,壁高欄配筋図（その3）,parapet_reinforcement,CH2,,DWG-TB-S095-001,group_mapping,
TR-4283,96,壁高欄配筋図（その4）,parapet_reinforcement,CH2,,DWG-TB-S096-001,group_mapping,
TR-4284,97,壁高欄配筋図（その5）,parapet_reinforcement,CH2,,DWG-TB-S097-001,group_mapping,
TR-4285,98,壁高欄配筋図（その6）,parapet_reinforcement,CH2,,DWG-TB-S098-001,group_mapping,
TR-4286,99,壁高欄配筋図（その7）,parapet_reinforcement,CH2,,DWG-TB-S099-001,group_mapping,
TR-4287,100,照明受台配筋図,lighting_pedestal,CH5,,DWG-TB-S100-001,group_mapping,
TR-4288,101,上部工排水装置（その1）,deck_drainage,CH5,,DWG-TB-S101-001,group_mapping,
TR-4289,102,上部工排水装置（その2）,deck_drainage,CH5,,DWG-TB-S102-001,group_mapping,
TR-4290,103,上部工排水装置（その3）,deck_drainage,CH5,,DWG-TB-S103-001,group_mapping,
TR-4291,104,上部工排水装置（その4）,deck_drainage,CH5,,DWG-TB-S104-001,group_mapping,
TR-4292,105,上部工排水装置（その5）,deck_drainage,CH5,,DWG-TB-S105-001,group_mapping,
TR-4293,106,上部工排水装置（その6）,deck_drainage,CH5,,DWG-TB-S106-001,group_mapping,
TR-4294,107,上部工排水装置（その7）,deck_drainage,CH5,,DWG-TB-S107-001,group_mapping,
TR-4295,108,上部工排水装置（その8）,deck_drainage,CH5,,DWG-TB-S108-001,group_mapping,
TR-4296,109,上部工排水装置（その9）,deck_drainage,CH5,,DWG-TB-S109-001,group_mapping,
TR-4297,110,上部工排水装置（その10）,deck_drainage,CH5,,DWG-TB-S110-001,group_mapping,
TR-4298,111,上部工排水装置（その11）,deck_drainage,CH5,,DWG-TB-S111-001,group_mapping,
TR-4299,112,下部工排水装置（その1）,substructure_drainage,CH5,,DWG-TB-S112-001,group_mapping,
TR-4300,113,下部工排水装置（その2）,substructure_drainage,CH5,,DWG-TB-S113-001,group_mapping,
TR-4301,114,下部工排水装置（その3）,substructure_drainage,CH5,,DWG-TB-S114-001,group_mapping,
TR-4302,115,橋面排水工,bridge_deck_drainage,CH5,,DWG-TB-S115-001,group_mapping,
TR-4303,116,上部工検査路（その1）,superstructure_inspection,CH5,,DWG-TB-S116-001,group_mapping,
TR-4304,117,上部工検査路（その2）,superstructure_inspection,CH5,,DWG-TB-S117-001,group_mapping,
TR-4305,118,上部工検査路（その3）,superstructure_inspection,CH5,,DWG-TB-S118-001,group_mapping,
TR-4306,119,上部工検査路（その4）,superstructure_inspection,CH5,,DWG-TB-S119-001,group_mapping,
TR-4307,120,上部工検査路（その5）,superstructure_inspection,CH5,,DWG-TB-S120-001,group_mapping,
TR-4308,121,上部工検査路（その6）,superstructure_inspection,CH5,,DWG-TB-S121-001,group_mapping,
TR-4309,122,上部工検査路（その7）,superstructure_inspection,CH5,,DWG-TB-S122-001,group_mapping,
TR-4310,123,上部工検査路（その8）,superstructure_inspection,CH5,,DWG-TB-S123-001,group_mapping,
TR-4311,124,上部工検査路（その9）,superstructure_inspection,CH5,,DWG-TB-S124-001,group_mapping,
TR-4312,125,上部工検査路（その10）,superstructure_inspection,CH5,,DWG-TB-S125-001,group_mapping,
TR-4313,126,下部工検査路（その1）,substructure_inspection,CH5,,DWG-TB-S126-001,group_mapping,
TR-4314,127,下部工検査路（その2）,substructure_inspection,CH5,,DWG-TB-S127-001,group_mapping,
TR-4315,128,下部工検査路（その3）,substructure_inspection,CH5,,DWG-TB-S128-001,group_mapping,
TR-4316,129,下部工検査路（その4）,substructure_inspection,CH5,,DWG-TB-S129-001,group_mapping,
TR-4317,130,下部工検査路（その5）,substructure_inspection,CH5,,DWG-TB-S130-001,group_mapping,
TR-4318,131,法面階段,slope_stairs,CH5,,DWG-TB-S131-001,group_mapping,
TR-4319,132,落下物防止柵 (参考図),falling_object_prevention,CH5,,DWG-TB-S132-001,group_mapping,
TR-4320,133,剥落防止対策工（その1）,spalling_prevention,CH5,,DWG-TB-S133-001,group_mapping,
TR-4321,134,剥落防止対策工（その2）,spalling_prevention,CH5,,DWG-TB-S134-001,group_mapping,
TR-4322,135,段差防止構造（その1）,step_prevention,CH5,,DWG-TB-S135-001,group_mapping,
TR-4323,136,段差防止構造（その2）,step_prevention,CH5,,DWG-TB-S136-001,group_mapping,
TR-4324,137,橋名板・橋歴板 (参考図),nameplate,CH5,,DWG-TB-S137-001,group_mapping,
TR-4325,138,ノーズ部ガードレール (参考図)（その1）,nose_guardrail,CH5,,DWG-TB-S138-001,group_mapping,
TR-4326,139,ノーズ部ガードレール (参考図)（その2）,nose_guardrail,CH5,,DWG-TB-S139-001,group_mapping,
TR-4327,140,ノーズ部止水構造図 (参考図),nose_water_stop,CH5,,DWG-TB-S140-001,group_mapping,
TR-4328,141,架設計画図,erection_plan,CH3,,S141-E01,ocr_sheet,"Sheet 141 OCR-assisted (PARTIAL, HCR-001); erection plan not linked to a numeric calc section."
